cases,companies,revenue_rows,profit_rows,revenue_mean,revenue_median,revenue_trim10,revenue_p90,revenue_max,profit_mean_pp,profit_median_pp,profit_trim10_pp,profit_p90_pp,profit_max_pp,revenue_coverage,profit_coverage,revenue_interval_score,profit_interval_score,panel,key
4,1,11,11,0.05167087211590216,0.029982363315696637,0.04635420609623795,0.13593769015455773,0.13960872682577072,1.2301300811351739,0.9591951258617923,1.1842553597155772,2.2245763931007594,2.470381689795753,1.0,1.0,0.3158404139110274,0.14711444788822503,company,AMD
4,1,12,12,0.020144500121128298,0.014259167708870243,0.016350787180712055,0.03680842596369053,0.0755486502233443,0.7304101041368627,0.2620984822285982,0.3712300923098136,1.3300038884129566,5.035590762021647,1.0,1.0,0.2761499739888686,0.08286867730829693,company,Amazon AWS
1,1,3,3,0.016785312174593326,0.014906048148065463,0.016785312174593326,0.021009438484729814,0.0225352860688959,0.5395647754104352,0.4371469825094107,0.5395647754104352,0.9686764187393457,1.1015587777968294,1.0,1.0,0.3862248296088034,0.15990276410031104,company,Amkor Technology
1,1,3,3,0.043116294842634816,0.04983517548962576,0.043116294842634816,0.06418374584674358,0.06777088843602302,0.8773723745733042,1.0331458119266834,0.8773723745733042,1.185841091485078,1.2240149113746768,1.0,1.0,0.3361121094325892,0.13320187162428374,company,Applied Materials
1,1,3,3,0.05869682134361828,0.06420682398643338,0.05869682134361828,0.08931261954629728,0.09558906843626326,0.7612983998265191,0.3807253104108288,0.7612983998265191,1.4013666482338716,1.6565269826896323,1.0,1.0,0.39682828639941786,0.14849398866960492,company,Arista Networks
1,1,3,3,0.02914380514339456,0.016393442622950793,0.02914380514339456,0.056358229529921075,0.06634942625666364,1.8810795671001506,1.9684274438372813,1.8810795671001506,2.918486492951879,3.156001255230528,1.0,1.0,0.46216131049366554,0.23091413530138705,company,Broadcom
1,1,3,3,0.015067040305213558,0.018138916107821514,0.015067040305213558,0.020898066422743944,0.02158785400147455,0.3567806895541694,0.2759375007685555,0.3567806895541694,0.6274727453929901,0.7153565565490988,1.0,1.0,0.4882683374899117,0.2441226722853103,company,Entegris
1,1,3,3,0.018548410795323766,0.019608776112605534,0.018548410795323766,0.028742979617397163,0.031026530493595068,0.8911423568575954,1.0281583690238565,0.8911423568575954,1.1925648208895678,1.2336664338559955,1.0,1.0,0.4790034986149605,0.23967053366283422,company,II-VI / Coherent
3,1,7,7,0.021914592090159717,0.019026648599819316,0.021914592090159717,0.03829485052812294,0.046721857455514285,0.9278749348491377,0.5357908794915267,0.9278749348491377,1.9121364786021902,2.359016946513378,1.0,1.0,0.22878094538975507,0.10330023202843013,company,Intel
4,1,12,12,0.0459240824541736,0.0382671552736685,0.0444626009299282,0.07618248992471435,0.08813431521003902,1.174366664635713,0.9366685561360749,1.1113011980610759,1.9664387170028692,2.72668827137007,1.0,0.9166666666666666,0.2832943949315037,0.11204231952116021,company,KLA
3,1,9,9,0.03932280720858486,0.03989255964253458,0.03932280720858486,0.06226111085229551,0.07122750462223956,0.6184190655898019,0.4713207846375356,0.6184190655898019,1.2516563267394998,1.2960754182242684,1.0,1.0,0.295869036417143,0.11830453997644742,company,Lam Research
