company,case_id,horizon,original_revenue_error,overlay_revenue_error,original_margin_error_pp,overlay_margin_error_pp
AMD,AMD@FY2017,1,0.011583011583011473,0.006079289373407246,0.40275096525096643,0.09934017064826772
AMD,AMD@FY2019,1,0.08839496056539993,0.0721052339130194,2.22457639310076,1.9211655984980602
AMD,AMD@FY2020,1,0.026408664962881894,0.00901128777339503,0.9478824388462961,0.6444716442435983
AMD,AMD@FY2021,1,0.025465022668530957,0.008050783269679661,2.4703816897957536,2.773792484398453
AMD,AMD@FY2017,2,0.025107710592779747,0.05526066606772543,0.6788835562904918,0.3969043472910112
AMD,AMD@FY2019,2,0.13593769015455773,0.11052179279360391,1.0711218754660123,0.7891426664665318
AMD,AMD@FY2020,2,0.025465022668530957,0.0032003648576840243,0.7312512550131434,1.013230464012624
AMD,AMD@FY2021,2,0.029982363315696637,0.0014498507742190406,0.9591951258617923,1.2411743348612734
AMD,AMD@FY2017,3,0.13960872682577072,0.10970723673178225,2.1175672973276196,1.7093070587156287
AMD,AMD@FY2020,3,0.029982363315696637,0.0037290115652945906,0.9591951258617923,1.3674553644737828
AMD,AMD@FY2021,3,0.0304440566220671,0.003251272863930821,0.968625169672289,0.560364931060298
Amazon AWS,AWS@FY2016,1,0.014834755713385666,0.0036692175706064274,0.19331004066670232,0.5833652083967884
Amazon AWS,AWS@FY2018,1,0.0049677382515845225,0.023843654030918534,0.23094272825900575,0.6209978959890918
Amazon AWS,AWS@FY2020,1,0.01128581074563516,0.007284820982968522,0.2932542361981909,0.09680093153189517
Amazon AWS,AWS@FY2022,1,0.002677479423074749,0.021510378167021216,0.13950439084588595,0.25055077688420013
Amazon AWS,AWS@FY2016,2,0.03722471253167031,0.00943759777158799,0.4389007990645055,0.1649806017748361
Amazon AWS,AWS@FY2018,2,0.0028653295128940395,0.03180950201378952,0.32367202997575717,0.04975183268608774
Amazon AWS,AWS@FY2020,2,0.013683579704354819,0.014782966869120917,0.017029564522569984,0.25689063276709945
